Apartament 2 camere Rahova-Sebastian T630,73 000 €,"Bucuresti, Sectorul 5",50 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-rahova-sebastian-t630-IDES7V.html
Vanzare Apartament 3 camere/Decomandat/Incalzire in Pardoseala,89 000 €,Bragadiru,66 m²,https://www.storia.ro/ro/oferta/vanzare-apartament-3-camere-decomandat-incalzire-in-pardoseala-IDFocS.html
Central Address Residence - 2 camere,123 200 €,"Bucuresti, Sectorul 5",77 m²,https://www.storia.ro/ro/oferta/central-address-residence-2-camere-IDmgd0.html
Apartment 2 camere pe Bld. Metalurgiei/ Dimitrie Leonida Metrou,105 000 €,"Bucuresti, Sectorul 4",62 m²,https://www.storia.ro/ro/oferta/apartment-2-camere-pe-bld-metalurgiei-dimitrie-leonida-metrou-IDFbk8.html
"Apartament 2 camere Titan – Strada Jean Steriadi, etaj 10",79 990 €,"Bucuresti, Sectorul 3",51 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-titan-strada-jean-steriadi-etaj-10-IDE29n.html
Apartament 3 camere Lujerului Nemobilat A450,105 999 €,"Bucuresti, Sectorul 6",77 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-lujerului-nemobilat-a450-IDEYuu.html
De vanzare garsoniera in rate dezvoltator Militari Residence,39 000 €,Chiajna,31 m²,https://www.storia.ro/ro/oferta/de-vanzare-garsoniera-in-rate-dezvoltator-militari-residence-IDAeaV.html
"Garsoniera, str Ilie Petre, Metro Militari",49 000 €,"Bucuresti, Sectorul 6",30 m²,https://www.storia.ro/ro/oferta/garsoniera-str-ilie-petre-metro-militari-IDDUQL.html
Apartament 2 camere decomandat mobilat și utilat – zona Gorjului / N-u,89 999 €,"Bucuresti, Sectorul 6",54 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-mobilat-i-utilat-zona-gorjului-n-u-IDEZG6.html
"Apartament 2 camere, 44 mp, Bloc nou",74 000 €,"Bucuresti, Sectorul 2",44 m²,https://www.olx.ro/d/oferta/apartament-2-camere-44-mp-bloc-nou-IDj4GGW.html
Apartament 2 camere 23 august OTOPENI,75 000 €,Otopeni,46 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-23-august-otopeni-IDEcBo.html
Central Address Residence - 2 camere,130 900 €,"Bucuresti, Sectorul 5",77 m²,https://www.storia.ro/ro/oferta/central-address-residence-2-camere-IDmgdh.html
Garsoniera cu curte si parcare Popesti Leordeni gata in 6 luni,52 000 €,"Bucuresti, Sectorul 4",70 m²,https://www.storia.ro/ro/oferta/garsoniera-cu-curte-si-parcare-popesti-leordeni-gata-in-6-luni-IDEZYO.html
